feedback,batch,exp_id,meta_round,seed,role,model,survival_days,final_hp,dead
OF,OF,exp_065,3,98,Bob,gemini-3.5-flash,20.0,3.0,0
OF,OF,exp_065,3,98,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_065,3,98,David,gpt-5.4,20.0,4.0,0
OF,OF,exp_065,3,98,Eric,deepseek-v4-flash,20.0,8.0,0
OF,OF,exp_065,3,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_065,3,197,Bob,gemini-3.5-flash,13.0,-1.0,1
OF,OF,exp_065,3,197,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_065,3,197,David,gpt-5.4,20.0,10.0,0
OF,OF,exp_065,3,197,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_065,3,666,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_065,3,666,Bob,gemini-3.5-flash,20.0,5.0,0
OF,OF,exp_065,3,666,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_065,3,666,David,gpt-5.4,20.0,7.0,0
OF,OF,exp_065,3,666,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_066,1,10,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_066,1,10,Bob,gemini-3.5-flash,16.0,-1.0,1
OF,OF,exp_066,1,10,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,1,10,David,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_066,1,10,Eric,gpt-5.4,20.0,8.0,0
OF,OF,exp_066,1,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_066,1,42,Bob,gemini-3.5-flash,20.0,8.0,0
OF,OF,exp_066,1,42,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,1,42,David,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_066,1,42,Eric,gpt-5.4,3.0,-2.0,1
OF,OF,exp_066,1,98,Alex,gpt-5.4-nano,5.0,-1.0,1
OF,OF,exp_066,1,98,Bob,gemini-3.5-flash,20.0,5.0,0
OF,OF,exp_066,1,98,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,1,98,David,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_066,1,98,Eric,gpt-5.4,3.0,-2.0,1
OF,OF,exp_066,1,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_066,1,197,Bob,gemini-3.5-flash,8.0,0.0,1
OF,OF,exp_066,1,197,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,1,197,David,deepseek-v4-flash,20.0,4.0,0
OF,OF,exp_066,1,197,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,1,666,Alex,gpt-5.4-nano,5.0,-1.0,1
OF,OF,exp_066,1,666,Bob,gemini-3.5-flash,18.0,-1.0,1
OF,OF,exp_066,1,666,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,1,666,David,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_066,1,666,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,2,10,Alex,gpt-5.4-nano,13.0,0.0,1
OF,OF,exp_066,2,10,Bob,gemini-3.5-flash,13.0,-2.0,1
OF,OF,exp_066,2,10,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,2,10,David,deepseek-v4-flash,9.0,-1.0,1
OF,OF,exp_066,2,10,Eric,gpt-5.4,20.0,9.0,0
OF,OF,exp_066,2,42,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_066,2,42,Bob,gemini-3.5-flash,20.0,2.0,0
OF,OF,exp_066,2,42,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,2,42,David,deepseek-v4-flash,20.0,3.0,0
OF,OF,exp_066,2,42,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,2,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_066,2,98,Bob,gemini-3.5-flash,20.0,2.0,0
OF,OF,exp_066,2,98,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,2,98,David,deepseek-v4-flash,20.0,7.0,0
OF,OF,exp_066,2,98,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,2,197,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_066,2,197,Bob,gemini-3.5-flash,20.0,6.0,0
OF,OF,exp_066,2,197,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,2,197,David,deepseek-v4-flash,13.0,-1.0,1
OF,OF,exp_066,2,197,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,2,666,Alex,gpt-5.4-nano,11.0,-2.0,1
OF,OF,exp_066,2,666,Bob,gemini-3.5-flash,10.0,-1.0,1
OF,OF,exp_066,2,666,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,2,666,David,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_066,2,666,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,3,10,Alex,gpt-5.4-nano,8.0,-2.0,1
OF,OF,exp_066,3,10,Bob,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_066,3,10,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,3,10,David,deepseek-v4-flash,5.0,-1.0,1
OF,OF,exp_066,3,10,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,3,42,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_066,3,42,Bob,gemini-3.5-flash,20.0,6.0,0
OF,OF,exp_066,3,42,Cindy,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_066,3,42,David,deepseek-v4-flash,5.0,-1.0,1
OF,OF,exp_066,3,42,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,3,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_066,3,98,Bob,gemini-3.5-flash,18.0,0.0,1
OF,OF,exp_066,3,98,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,3,98,David,deepseek-v4-flash,7.0,-1.0,1
OF,OF,exp_066,3,98,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_066,3,197,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_066,3,197,Bob,gemini-3.5-flash,20.0,6.0,0
OF,OF,exp_066,3,197,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,3,197,David,deepseek-v4-flash,5.0,-1.0,1
OF,OF,exp_066,3,197,Eric,gpt-5.4,20.0,9.0,0
OF,OF,exp_066,3,666,Alex,gpt-5.4-nano,11.0,-3.0,1
OF,OF,exp_066,3,666,Bob,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_066,3,666,Cindy,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_066,3,666,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_066,3,666,Eric,gpt-5.4,11.0,0.0,1
OF,OF,exp_067,1,10,Alex,gpt-5.4-nano,7.0,0.0,1
OF,OF,exp_067,1,10,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_067,1,10,Cindy,gpt-5.4,20.0,9.0,0
OF,OF,exp_067,1,10,David,deepseek-v4-flash,8.0,0.0,1
OF,OF,exp_067,1,10,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,1,42,Alex,gpt-5.4-nano,4.0,0.0,1
OF,OF,exp_067,1,42,Bob,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_067,1,42,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,1,42,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,1,42,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,1,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_067,1,98,Bob,claude-sonnet-5,20.0,4.0,0
OF,OF,exp_067,1,98,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,1,98,David,deepseek-v4-flash,7.0,0.0,1
OF,OF,exp_067,1,98,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,1,197,Alex,gpt-5.4-nano,4.0,0.0,1
OF,OF,exp_067,1,197,Bob,claude-sonnet-5,8.0,0.0,1
OF,OF,exp_067,1,197,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,1,197,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,1,197,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,1,666,Alex,gpt-5.4-nano,7.0,0.0,1
OF,OF,exp_067,1,666,Bob,claude-sonnet-5,10.0,-1.0,1
OF,OF,exp_067,1,666,Cindy,gpt-5.4,20.0,9.0,0
OF,OF,exp_067,1,666,David,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_067,1,666,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,2,10,Alex,gpt-5.4-nano,7.0,0.0,1
OF,OF,exp_067,2,10,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_067,2,10,Cindy,gpt-5.4,20.0,9.0,0
OF,OF,exp_067,2,10,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,2,10,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,2,42,Alex,gpt-5.4-nano,4.0,0.0,1
OF,OF,exp_067,2,42,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_067,2,42,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,2,42,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,2,42,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,2,98,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_067,2,98,Bob,claude-sonnet-5,20.0,4.0,0
OF,OF,exp_067,2,98,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,2,98,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,2,98,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,2,197,Alex,gpt-5.4-nano,7.0,0.0,1
OF,OF,exp_067,2,197,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_067,2,197,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,2,197,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,2,197,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,2,666,Alex,gpt-5.4-nano,7.0,0.0,1
OF,OF,exp_067,2,666,Bob,claude-sonnet-5,19.0,-1.0,1
OF,OF,exp_067,2,666,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,2,666,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,2,666,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,3,10,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_067,3,10,Bob,claude-sonnet-5,20.0,5.0,0
OF,OF,exp_067,3,10,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,3,10,David,deepseek-v4-flash,20.0,4.0,0
OF,OF,exp_067,3,10,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,3,42,Alex,gpt-5.4-nano,6.0,-3.0,1
OF,OF,exp_067,3,42,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_067,3,42,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,3,42,David,deepseek-v4-flash,4.0,0.0,1
OF,OF,exp_067,3,42,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_067,3,98,Alex,gpt-5.4-nano,8.0,0.0,1
OF,OF,exp_067,3,98,Bob,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_067,3,98,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,3,98,David,deepseek-v4-flash,6.0,-2.0,1
OF,OF,exp_067,3,98,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,3,197,Alex,gpt-5.4-nano,8.0,0.0,1
OF,OF,exp_067,3,197,Bob,claude-sonnet-5,4.0,0.0,1
OF,OF,exp_067,3,197,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,3,197,David,deepseek-v4-flash,3.0,-2.0,1
OF,OF,exp_067,3,197,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_067,3,666,Alex,gpt-5.4-nano,8.0,0.0,1
OF,OF,exp_067,3,666,Bob,claude-sonnet-5,10.0,-1.0,1
OF,OF,exp_067,3,666,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_067,3,666,David,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_067,3,666,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,1,10,Alex,gpt-5.4-nano,6.0,-2.0,1
OF,OF,exp_068,1,10,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_068,1,10,Cindy,gpt-5.4,20.0,9.0,0
OF,OF,exp_068,1,10,David,gemini-3.5-flash,20.0,8.0,0
OF,OF,exp_068,1,10,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_068,1,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,1,42,Bob,claude-sonnet-5,20.0,8.0,0
OF,OF,exp_068,1,42,Cindy,gpt-5.4,20.0,7.0,0
OF,OF,exp_068,1,42,David,gemini-3.5-flash,10.0,-1.0,1
OF,OF,exp_068,1,42,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_068,1,98,Alex,gpt-5.4-nano,5.0,-1.0,1
OF,OF,exp_068,1,98,Bob,claude-sonnet-5,20.0,4.0,0
OF,OF,exp_068,1,98,Cindy,gpt-5.4,20.0,8.0,0
OF,OF,exp_068,1,98,David,gemini-3.5-flash,19.0,0.0,1
OF,OF,exp_068,1,98,Eric,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_068,1,197,Alex,gpt-5.4-nano,20.0,1.0,0
OF,OF,exp_068,1,197,Bob,claude-sonnet-5,8.0,0.0,1
OF,OF,exp_068,1,197,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_068,1,197,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,1,197,Eric,deepseek-v4-flash,4.0,0.0,1
OF,OF,exp_068,1,666,Alex,gpt-5.4-nano,11.0,-3.0,1
OF,OF,exp_068,1,666,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_068,1,666,Cindy,gpt-5.4,20.0,8.0,0
OF,OF,exp_068,1,666,David,gemini-3.5-flash,20.0,4.0,0
OF,OF,exp_068,1,666,Eric,deepseek-v4-flash,20.0,2.0,0
OF,OF,exp_068,2,10,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,2,10,Bob,claude-sonnet-5,19.0,0.0,1
OF,OF,exp_068,2,10,Cindy,gpt-5.4,20.0,8.0,0
OF,OF,exp_068,2,10,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,2,10,Eric,deepseek-v4-flash,20.0,5.0,0
OF,OF,exp_068,2,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,2,42,Bob,claude-sonnet-5,20.0,3.0,0
OF,OF,exp_068,2,42,Cindy,gpt-5.4,20.0,7.0,0
OF,OF,exp_068,2,42,David,gemini-3.5-flash,20.0,3.0,0
OF,OF,exp_068,2,42,Eric,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_068,2,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,2,98,Bob,claude-sonnet-5,20.0,4.0,0
OF,OF,exp_068,2,98,Cindy,gpt-5.4,20.0,7.0,0
OF,OF,exp_068,2,98,David,gemini-3.5-flash,19.0,-1.0,1
OF,OF,exp_068,2,98,Eric,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_068,2,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,2,197,Bob,claude-sonnet-5,8.0,0.0,1
OF,OF,exp_068,2,197,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_068,2,197,David,gemini-3.5-flash,20.0,4.0,0
OF,OF,exp_068,2,197,Eric,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_068,2,666,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,2,666,Bob,claude-sonnet-5,20.0,3.0,0
OF,OF,exp_068,2,666,Cindy,gpt-5.4,20.0,8.0,0
OF,OF,exp_068,2,666,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,2,666,Eric,deepseek-v4-flash,20.0,4.0,0
OF,OF,exp_068,3,10,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,3,10,Bob,claude-sonnet-5,20.0,3.0,0
OF,OF,exp_068,3,10,Cindy,gpt-5.4,20.0,3.0,0
OF,OF,exp_068,3,10,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,3,10,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_068,3,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,3,42,Bob,claude-sonnet-5,20.0,3.0,0
OF,OF,exp_068,3,42,Cindy,gpt-5.4,20.0,6.0,0
OF,OF,exp_068,3,42,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,3,42,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_068,3,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,3,98,Bob,claude-sonnet-5,20.0,4.0,0
OF,OF,exp_068,3,98,Cindy,gpt-5.4,20.0,10.0,0
OF,OF,exp_068,3,98,David,gemini-3.5-flash,19.0,-1.0,1
OF,OF,exp_068,3,98,Eric,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_068,3,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,3,197,Bob,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_068,3,197,Cindy,gpt-5.4,20.0,7.0,0
OF,OF,exp_068,3,197,David,gemini-3.5-flash,20.0,4.0,0
OF,OF,exp_068,3,197,Eric,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_068,3,666,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_068,3,666,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_068,3,666,Cindy,gpt-5.4,20.0,4.0,0
OF,OF,exp_068,3,666,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_068,3,666,Eric,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_069,1,10,Alex,gpt-5.4-nano,6.0,-2.0,1
OF,OF,exp_069,1,10,Bob,claude-sonnet-5,6.0,-2.0,1
OF,OF,exp_069,1,10,Cindy,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_069,1,10,David,gpt-5.4,20.0,8.0,0
OF,OF,exp_069,1,10,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_069,1,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,1,42,Bob,claude-sonnet-5,7.0,0.0,1
OF,OF,exp_069,1,42,Cindy,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_069,1,42,David,gpt-5.4,13.0,-2.0,1
OF,OF,exp_069,1,42,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_069,1,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,1,98,Bob,claude-sonnet-5,20.0,5.0,0
OF,OF,exp_069,1,98,Cindy,deepseek-v4-flash,20.0,7.0,0
OF,OF,exp_069,1,98,David,gpt-5.4,10.0,-1.0,1
OF,OF,exp_069,1,98,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_069,1,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,1,197,Bob,claude-sonnet-5,8.0,0.0,1
OF,OF,exp_069,1,197,Cindy,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_069,1,197,David,gpt-5.4,20.0,7.0,0
OF,OF,exp_069,1,197,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_069,1,666,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,1,666,Bob,claude-sonnet-5,8.0,0.0,1
OF,OF,exp_069,1,666,Cindy,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_069,1,666,David,gpt-5.4,20.0,7.0,0
OF,OF,exp_069,1,666,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_069,2,10,Alex,gpt-5.4-nano,6.0,-2.0,1
OF,OF,exp_069,2,10,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_069,2,10,Cindy,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_069,2,10,David,gpt-5.4,20.0,7.0,0
OF,OF,exp_069,2,10,Eric,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_069,2,42,Alex,gpt-5.4-nano,6.0,-2.0,1
OF,OF,exp_069,2,42,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_069,2,42,Cindy,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_069,2,42,David,gpt-5.4,5.0,-1.0,1
OF,OF,exp_069,2,42,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_069,2,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,2,98,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_069,2,98,Cindy,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_069,2,98,David,gpt-5.4,20.0,4.0,0
OF,OF,exp_069,2,98,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_069,2,197,Alex,gpt-5.4-nano,6.0,-2.0,1
OF,OF,exp_069,2,197,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_069,2,197,Cindy,deepseek-v4-flash,20.0,10.0,0
OF,OF,exp_069,2,197,David,gpt-5.4,20.0,8.0,0
OF,OF,exp_069,2,197,Eric,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_069,2,666,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,2,666,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_069,2,666,Cindy,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_069,2,666,David,gpt-5.4,20.0,3.0,0
OF,OF,exp_069,2,666,Eric,gemini-3.5-flash,20.0,8.0,0
OF,OF,exp_069,3,10,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,3,10,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_069,3,10,Cindy,deepseek-v4-flash,20.0,6.0,0
OF,OF,exp_069,3,10,David,gpt-5.4,20.0,9.0,0
OF,OF,exp_069,3,10,Eric,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_069,3,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,3,42,Bob,claude-sonnet-5,20.0,6.0,0
OF,OF,exp_069,3,42,Cindy,deepseek-v4-flash,20.0,7.0,0
OF,OF,exp_069,3,42,David,gpt-5.4,20.0,9.0,0
OF,OF,exp_069,3,42,Eric,gemini-3.5-flash,20.0,8.0,0
OF,OF,exp_069,3,98,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,3,98,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_069,3,98,Cindy,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_069,3,98,David,gpt-5.4,20.0,7.0,0
OF,OF,exp_069,3,98,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_069,3,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,3,197,Bob,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_069,3,197,Cindy,deepseek-v4-flash,20.0,9.0,0
OF,OF,exp_069,3,197,David,gpt-5.4,3.0,-2.0,1
OF,OF,exp_069,3,197,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_069,3,666,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_069,3,666,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_069,3,666,Cindy,deepseek-v4-flash,20.0,7.0,0
OF,OF,exp_069,3,666,David,gpt-5.4,20.0,7.0,0
OF,OF,exp_069,3,666,Eric,gemini-3.5-flash,20.0,10.0,0
OF,OF,exp_070,1,10,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_070,1,10,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_070,1,10,Cindy,deepseek-v4-flash,20.0,2.0,0
OF,OF,exp_070,1,10,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_070,1,10,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,1,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_070,1,42,Bob,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_070,1,42,Cindy,deepseek-v4-flash,20.0,3.0,0
OF,OF,exp_070,1,42,David,gemini-3.5-flash,20.0,8.0,0
OF,OF,exp_070,1,42,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,1,98,Alex,gpt-5.4-nano,5.0,-1.0,1
OF,OF,exp_070,1,98,Bob,claude-sonnet-5,20.0,3.0,0
OF,OF,exp_070,1,98,Cindy,deepseek-v4-flash,20.0,5.0,0
OF,OF,exp_070,1,98,David,gemini-3.5-flash,20.0,2.0,0
OF,OF,exp_070,1,98,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,1,197,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_070,1,197,Bob,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_070,1,197,Cindy,deepseek-v4-flash,4.0,0.0,1
OF,OF,exp_070,1,197,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_070,1,197,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,1,666,Alex,gpt-5.4-nano,10.0,-1.0,1
OF,OF,exp_070,1,666,Bob,claude-sonnet-5,20.0,9.0,0
OF,OF,exp_070,1,666,Cindy,deepseek-v4-flash,4.0,0.0,1
OF,OF,exp_070,1,666,David,gemini-3.5-flash,20.0,9.0,0
OF,OF,exp_070,1,666,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,2,10,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_070,2,10,Bob,claude-sonnet-5,20.0,5.0,0
OF,OF,exp_070,2,10,Cindy,deepseek-v4-flash,20.0,7.0,0
OF,OF,exp_070,2,10,David,gemini-3.5-flash,20.0,2.0,0
OF,OF,exp_070,2,10,Eric,gpt-5.4,20.0,9.0,0
OF,OF,exp_070,2,42,Alex,gpt-5.4-nano,3.0,-2.0,1
OF,OF,exp_070,2,42,Bob,claude-sonnet-5,20.0,10.0,0
OF,OF,exp_070,2,42,Cindy,deepseek-v4-flash,7.0,-1.0,1
OF,OF,exp_070,2,42,David,gemini-3.5-flash,20.0,6.0,0
OF,OF,exp_070,2,42,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,2,98,Alex,gpt-5.4-nano,8.0,-1.0,1
OF,OF,exp_070,2,98,Bob,claude-sonnet-5,20.0,7.0,0
OF,OF,exp_070,2,98,Cindy,deepseek-v4-flash,20.0,6.0,0
OF,OF,exp_070,2,98,David,gemini-3.5-flash,20.0,7.0,0
OF,OF,exp_070,2,98,Eric,gpt-5.4,20.0,10.0,0
OF,OF,exp_070,2,197,Alex,gpt-5.4-nano,3.0,-2.0,1
